ID,出典,問題文,正解,誤答1,誤答2,誤答3,意味・分類タグ,文意訳（ヒント）,解説,,,,,,,,,,,,,,,,
1,2017-1,That ( ) with a presentation on mountain climbing that starts at 2:45. I can’t go to both.,overlaps,emphasizes,identifies,organizes,動詞・重複する,その予定は、2時45分に始まる登山のプレゼンテーションと重なっています。両方に行くことはできません。,【正解のポイント】スケジュールがかぶることを表すoverlapsが正解。準1級では「（意見などの）共通部分」の意味でも出ます。【紛らわしい選択肢】emphasizes（強調する）、identifies（特定する）、organizes（組織する）。,,,,,,,,,,,,,,,,
2,2017-1,"The ( ) between the two biologists was very successful. By working together, they discovered two new species.",collaboration,arrest,detective,democracy,名詞・協力,その2人の生物学者の共同研究は非常にうまくいきました。協力することで、彼らは2つの新種を発見しました。,【正解のポイント】working together（共に働く）の言い換え。collaboration（協力）。【紛らわしい選択肢】arrest（逮捕）、detective（探偵）、democracy（民主主義）。文脈とかけ離れた選択肢が多いですが、基礎語彙の確認になります。,,,,,,,,,,,,,,,,
3,2017-1,The company decided to ( ) the taste of the drink by adding cherry flavor and making it sweeter.,modify,train,measure,tolerate,動詞・修正する,その会社は、チェリーの風味を加えてより甘くすることで、その飲み物の味を修正することに決めました。,【正解のポイント】味を変える文脈。modify（修正・変更する）は準1級必須語彙。【紛らわしい選択肢】measure（測る）、tolerate（許容する・我慢する）も重要語です。,,,,,,,,,,,,,,,,
4,2017-1,Please ( ) the soup with this spoon. It needs to be mixed well before it’s ready to eat.,stir,roll,orbit,curl,動詞・かき混ぜる,このスプーンでスープをかき混ぜてください。食べる前によく混ぜる必要があります。,【正解のポイント】mix well（よく混ぜる）ための動作。stir（かき混ぜる）。【紛らわしい選択肢】orbit（軌道を回る）は科学系長文で頻出。,,,,,,,,,,,,,,,,
5,2017-1,"Rather than buying a lot of groceries once a week, she prefers to go shopping ( ).",frequently,politely,accidentally,emotionally,副詞・頻繁に,週に一度大量の食料品を買うよりも、彼女は頻繁に買い物に行くことを好みます。,【正解のポイント】once a week（週一回）との対比。frequently（頻繁に）。【紛らわしい選択肢】accidentally（偶然に）は副詞問題でよく出る誤答です。,,,,,,,,,,,,,,,,
6,2017-1,Mr. Phillips ( ) his students by giving them a test every month.,evaluates,defends,cheers,satisfies,動詞・評価する,フィリップス先生は、毎月テストを行うことで生徒たちを評価しています。,【正解のポイント】テストで能力を測る＝evaluates（評価する）。【紛らわしい選択肢】defends（守る）、satisfies（満足させる）。value（価値）が語源です。,,,,,,,,,,,,,,,,
7,2017-1,"Danny, your bedroom is a ( )! There are clothes all over the floor.",mess,district,sense,purpose,名詞・散らかった状態,ダニー、あなたの寝室は散らかっているわよ！ 床中に服があるじゃない。,【正解のポイント】服が散乱している状態＝mess（散らかった状態）。Make a mess（散らかす）という熟語も頻出。【紛らわしい選択肢】district（地区）。,,,,,,,,,,,,,,,,
8,2017-1,"Five good players will be joining the team next season, so its ( ) for next year are good.",prospects,religions,victims,manuals,名詞・見通し,来シーズンは5人の優秀な選手がチームに加わる予定なので、来年の見通しは明るいです。,【正解のポイント】将来の期待。prospects（見通し、可能性）。【紛らわしい選択肢】victims（犠牲者）はニュース系長文で必須。,,,,,,,,,,,,,,,,
9,2017-1,Kyoko’s parents had always thought of Brazil as a ( ) country that they would never go to.,distant,visible,various,delicious,形容詞・遠い,キョウコの両親は、ブラジルを自分たちが決して行くことのない遠い国だとずっと思っていました。,【正解のポイント】物理的・心理的な距離。distant（遠い）。【紛らわしい選択肢】visible（目に見える）、various（様々な）。,,,,,,,,,,,,,,,,
10,2017-1,It took him a few moments to ( ) his breath first.,catch,wrap,dig,reach,熟語・息を整える,彼が最初に息を整えるのに、少し時間がかかりました。,【正解のポイント】catch one's breath（息を整える）。慣用句です。【紛らわしい選択肢】reach（届く）などは文脈に合いません。,,,,,,,,,,,,,,,,
11,2017-1,The business partners ( ) a business plan that they were sure would succeed.,put together,went on,used up,turned off,句動詞・まとめる,ビジネスパートナーたちは、成功すると確信できる事業計画をまとめました。,【正解のポイント】計画を作成する。put together（まとめる、組み立てる）。【紛らわしい選択肢】used up（使い果たす）は頻出。,,,,,,,,,,,,,,,,
12,2017-1,"When they were younger, Kevin and his sister Laura did not ( ) very well.",get along,drop in,keep up,take over,句動詞・仲良くする,若かった頃、ケビンと妹のローラはあまり仲良くありませんでした。,【正解のポイント】人間関係。get along (with)（仲良くやっていく）。【紛らわしい選択肢】take over（引き継ぐ）はビジネス文脈で重要。,,,,,,,,,,,,,,,,
13,2017-1,Many people called to say that they’re running late on ( ) of the heavy traffic.,account,angle,payment,production,熟語・～のために,多くの人が、交通渋滞のために遅れると電話してきました。,【正解のポイント】on account of（～の理由で）。Due toと同じ。【紛らわしい選択肢】payment（支払い）。,,,,,,,,,,,,,,,,
14,2017-1,He asked someone from the IT department to ( ) the problem for him.,look into,send off,refrain from,result in,句動詞・調査する,彼はIT部門の誰かに、自分のためにその問題を調査してくれるよう頼みました。,【正解のポイント】トラブルの原因を探る。look into（調査する）。【紛らわしい選択肢】refrain from（控える）、result in（～という結果になる）は準1級レベルの超重要句動詞です。,,,,,,,,,,,,,,,,
15,2017-1,"( ), however, employees sometimes use the phones for personal calls.",In practice,With help,By birth,On schedule,熟語・実際には,しかし、実際には、従業員たちは時々電話を私用で使っています。,【正解のポイント】建前と本音の対比。In practice（実際には）。【紛らわしい選択肢】By birth（生まれつき）。,,,,,,,,,,,,,,,,
16,2017-1,He was ( ) to return to the countryside and breathe the clean air again.,dying,afraid,slow,heavy,熟語・したくてたまらない,彼は田舎に帰ってまたきれいな空気を吸いたくてたまりませんでした。,【正解のポイント】be dying to do（～したくてたまらない）。死ぬほど～したいという強調表現。【紛らわしい選択肢】afraid（恐れて）。,,,,,,,,,,,,,,,,
17,2017-2,"Sports cars use a lot of gasoline and don’t have much room, so they’re not very ( ).",practical,complex,informal,minor,形容詞・実用的な,スポーツカーはガソリンを多く使い、場所もあまりないので、あまり実用的ではありません。,【正解のポイント】便利ではない＝practical（実用的な）ではない。【紛らわしい選択肢】complex（複雑な）、minor（重要でない）。,,,,,,,,,,,,,,,,
18,2017-2,Susan bought a large ( ) of paper towels at the supermarket.,quantity,movement,operation,benefit,名詞・量,スーザンはスーパーで大量のペーパータオルを買いました。,【正解のポイント】a large quantity of（大量の）。Quality（質）との対比で覚えましょう。【紛らわしい選択肢】benefit（利益）。,,,,,,,,,,,,,,,,
