ID,出典,単語・熟語,正解,誤答1,誤答2,誤答3,引用例文・和訳,解説・誤答分析,,,,,,,,,,,,,,,,,
1,2017-1,overlaps,重複する、重なる,強調する,識別する,組織する,"""That **overlaps** with a presentation on mountain climbing that starts at 2:45."" （それは2時45分に始まる登山のプレゼンテーションと重複しています。）",【正解】予定や時間が「かぶる」こと。lap（ひざ）の上に重なるイメージ。準1級では議論や領域の重複でも使われます。【誤答】emphasizes（強調する：重要性を強める）、identifies（識別する：本人確認など）、organizes（組織する：イベントや団体をまとめる）。文脈が「時間の衝突」なのでoverlapsが正解。,,,,,,,,,,,,,,,,,
2,2017-1,collaboration,協力、共同制作,逮捕,探偵,民主主義,"""The **collaboration** between the two biologists was very successful."" （その2人の生物学者の間の協力は非常に成功しました。）",【正解】co（共に）+ labor（働く）。ビジネスや学術研究で「協力して何かを作る」文脈で必須。【誤答】arrest（逮捕：警察関連）、detective（探偵：ミステリーや捜査）、democracy（民主主義：政治）。これらは物語文や社会派長文で頻出する名詞。,,,,,,,,,,,,,,,,,
3,2017-1,modify,修正する、変更する,訓練する,測定する,我慢する,"""...the company decided to **modify** the taste of the drink..."" （...その会社は飲み物の味を修正することに決めました...）",【正解】一部を変更して改良すること。changeよりも技術的・意図的なニュアンスがあります。【誤答】train（訓練する）、measure（測定する：数値を図る）、tolerate（我慢する）。tolerateは準1級の超重要語（put up withの言い換え）です。,,,,,,,,,,,,,,,,,
4,2017-1,stir,かき混ぜる,転がす,軌道に乗る,カールする,"""Please **stir** the soup with this spoon."" （このスプーンでスープをかき混ぜてください。）",【正解】液体などをスプーン等で動かすこと。感情を「かき立てる」という意味でも使われます。【誤答】roll（転がす）、orbit（軌道に乗る/周回する）、curl（カールする）。orbitは宇宙・科学系長文で必須。,,,,,,,,,,,,,,,,,
5,2017-1,prospects,見込み、将来性,宗教,犠牲者,マニュアル,"""...so its **prospects** for next year are good."" （...だから来年の見込みは良好です。）",【正解】pro（前）+ spect（見る）＝将来の展望。ビジネスの成長予測などで多用されます。【誤答】religions（宗教）、victims（犠牲者：事故や犯罪）、manuals（マニュアル）。victimは準1級リスニングでも頻出。,,,,,,,,,,,,,,,,,
6,2017-1,distant,遠い,目に見える,様々な,美味しい,"""Kyoko’s parents had always thought of Brazil as a **distant** country..."" （キョウコの両親は、ブラジルをずっと遠い国だと考えていました...）",【正解】距離が離れていること。distance（距離）の形容詞形。【誤答】visible（目に見える：invisibleの対義語）、various（様々な）、delicious（美味しい）。visibleは科学系長文で重要。,,,,,,,,,,,,,,,,,
7,2017-1,on account of,～のために（理由）,～の角度で,～の支払いで,～の生産で,"""...many people called to say that they’re running late on **account** of the heavy traffic..."" （...多くの人が、激しい交通渋滞のために遅れると電話してきました...）",【正解】because ofのフォーマル表現。account単体では「説明、口座」など多義があるため注意。【誤答】angle（角度）、payment（支払い）、production（生産）。accountの他の意味や形が似た名詞によるひっかけ。,,,,,,,,,,,,,,,,,
8,2017-1,look into,～を調査する,～を見送る,～を控える,～という結果になる,"""...he asked someone from the IT department to **look into** the problem for him."" （...彼はIT部署の人に、彼のために問題を調査するよう頼みました。）",【正解】中をのぞき込む＝詳しく調べる（investigate）。【誤答】send off（見送る/発送する）、refrain from（控える：公共のマナーなどで使う）、result in（～という結果になる：因果関係を示す重要熟語）。,,,,,,,,,,,,,,,,,
9,2017-2,practical,実用的な,複雑な,形式ばらない,重要でない,"""But they use a lot of gasoline and don’t have much room, so they’re not very **practical**."" （でもガソリンを食うし場所もあまりないから、それらはあまり実用的じゃないね。）",【正解】実際の役に立つ、現実的な。practice（実行）の形容詞形。【誤答】complex（複雑な）、informal（形式ばらない）、minor（重要でない/少数の）。complexやminorは準1級長文の常連。,,,,,,,,,,,,,,,,,
10,2017-2,quantity,量,動き,手術,利益,"""Susan bought a large **quantity** of paper towels..."" （スーザンは大量のペーパータオルを買いました...）",【正解】数や量。quality（質）と対になる概念。a large quantity ofで「大量の」。【誤答】movement（動き/運動）、operation（手術/操作：文脈により意味が変わる）、benefit（利益/恩恵）。,,,,,,,,,,,,,,,,,
11,2017-2,previously,以前に,徐々に,その結果として,電子的に,"""I **previously** worked at Miller Steel."" （私は以前、ミラー・スチール社で働いていました。）",【正解】pre（前）+ vious（道）。beforeの堅い表現で、職歴や経緯を説明する際に必須。【誤答】gradually（徐々に：変化の過程）、consequently（その結果として：論理的帰結）、electronically（電子的に）。,,,,,,,,,,,,,,,,,
12,2017-2,inspected,検査された,翻訳された,説明された,変形された,"""...their bags are **inspected** by security officers."" （...彼らのバッグは警備員によって検査されます。）",【正解】中を(in)見る(spect)＝詳しく点検する。セキュリティや品質管理で使われる。【誤答】translated（翻訳された）、illustrated（説明された/挿絵が入った）、transformed（変形された：形が変わる）。,,,,,,,,,,,,,,,,,
13,2017-2,sympathize,同情する,裏切る,集中する,説得する,"""...John could **sympathize** with her because the same thing had happened to him..."" （...ジョンは彼女に同情することができました。同じことが彼にも起きたことがあったからです...）",【正解】sym（同じ）+ pathy（感情）。相手の気持ちに寄り添うこと。【誤答】betray（裏切る）、concentrate（集中する）、persuade（説得する）。persuade A to do（Aを説得して～させる）は頻出。,,,,,,,,,,,,,,,,,
14,2017-2,exporting,輸出すること,短縮すること,観察すること,装飾すること,"""...he has made a lot of money since he started **exporting** them to other countries."" （...彼はそれらを他国へ輸出し始めて以来、多くのお金を稼ぎました。）",【正解】ex（外へ）+ port（運ぶ）。対義語はimport（輸入）。【誤答】shortening（短縮すること）、observing（観察すること/守ること）、decorating（装飾すること）。,,,,,,,,,,,,,,,,,
15,2017-2,accustomed to,～に慣れている,～に用心深い,～に似ている,～を恥じている,"""...so Elliot is **accustomed to** being home alone after school."" （...だからエリオットは放課後に一人で家にいることに慣れています。）",【正解】custom（習慣）になっている状態。be used to ～ingと同じ。【誤答】cautious of（用心深い：注意深い）、similar to（似ている）、ashamed of（恥じている）。,,,,,,,,,,,,,,,,,
16,2017-2,do away with,～を廃止する,～とうまくやる,～に慣れる,～を引き起こす,"""The school is going to **do away with** the old system of exams."" （学校は古い試験制度を廃止するつもりです。）",【正解】規則、制度、習慣などをなくす（abolish）。英検で非常に頻出する熟語。【誤答】fit in with（適合する/なじむ）、get used to（慣れる）、give rise to（引き起こす：causeの堅い表現）。,,,,,,,,,,,,,,,,,
17,2017-3,incredible,信じられないほどの,人工的な,無実の,傲慢な,"""My mother has an **incredible** memory."" （私の母は信じられないほどの記憶力を持っています。）",【正解】in（否定）+ credible（信じられる）。素晴らしいという意味でも、ありえないという意味でも使われます。【誤答】artificial（人工的な：AIなど）、innocent（無実の/無邪気な）、arrogant（傲慢な）。,,,,,,,,,,,,,,,,,
18,2017-3,withdrew,（預金を）引き出した,拒絶した,受け入れた,追い越した,"""Amy **withdrew** $300 from her bank account..."" （エイミーは銀行口座から300ドルを引き出しました...）",【正解】後ろに(with)引く(draw)。お金を下ろす、撤退する、など多義語。【誤答】refused（拒絶した）、embraced（受け入れた/抱きしめた）、overtook（追い越した）。overtakeはグラフ問題で「（数値を）追い抜く」時によく出る。,,,,,,,,,,,,,,,,,
19,2017-3,preserve,保存する、保護する,出版する,交換する,制限する,"""The town has made an effort to **preserve** the views of its beaches..."" （町はビーチの景観を保護するために努力してきました...）",【正解】前の状態を保つこと。環境保護（nature preservation）の文脈で頻出。【誤答】publish（出版する）、replace（交換する）、restrict（制限する）。restrictは準1級必須語。,,,,,,,,,,,,,,,,,
20,2017-3,philosopher,哲学者,探検家,競争相手,観客,"""Socrates was a great **philosopher** who lived in ancient Greece."" （ソクラテスは古代ギリシャに生きた偉大な哲学者でした。）",【正解】sophia（知）をphil（愛する）人。アカデミックな長文で必須。【誤答】explorer（探検家）、competitor（競争相手）、spectator（観客）。spectatorはスポーツ観戦などの「見る人」。,,,,,,,,,,,,,,,,,
21,2017-3,well off,裕福な,まっすぐな,残された,遠く離れた,"""Yes, they’re very **well off**. They live in a huge house..."" （ええ、彼らはとても裕福です。巨大な家に住んでいて...）",【正解】暮らし向きが良いこと。richの婉曲表現。対義語はbadly off（貧しい）。【誤答】straight on（まっすぐに）、left on（残された/つけっぱなしの）、far off（遠く離れた）。,,,,,,,,,,,,,,,,,
